Word	WordId	Freq
mandibular	364	962
submaxillary	365	85
supraclavicular	366	221
jugular	367	391
retropharyngeal	368	64
prelaryngeal	369	10
delphian	370	10
pretracheal	371	16
infraclavicular	372	59
scalene	373	42
prevertebral	374	34
prepericardial	375	8
pericardial	376	384
pulmonary	377	5413
bronchopulmonary	378	45
tracheobronchial	379	154
superior	380	2761
tracheal	381	424
parasternal	382	67
supramammary	383	6
mediastinal	384	382
esophageal	385	961
intercostal	386	781
diaphragmatic	387	354
innominate	388	146
gut-associated	389	7
celiac	390	332
mesenteric	391	804
juxtaintestinal	392	8
epiploic	393	33
foramen	394	703
left	395	19199
gastric	396	1913
lymph	397	4839
node	398	3067
ring	399	1716
gastro-omental	400	10
suprapyloric	401	8
subpyloric	402	8
retropyloric	403	8
pancreaticosplenic	404	8
pancreaticoduodenal	405	61
hilar	406	105
lumbar	407	3706
intestinal	408	1587
rectal	409	1898
ileocolic	410	47
right	411	18749
colic	412	275
midcolic	413	8
retroperitoneal	414	314
prececal	415	8
appendicular	416	52
iliac	417	1713
medial	418	2536
intermediate	419	641
subaortic	420	93
promontory	421	24
subiliac	422	8
external	423	3928
lacunar	424	74
interiliac	425	8
obturator	426	363
hypogastric	427	97
gluteal	428	217
sacral	429	1015
parametrial	430	40
epigastric	431	300
presymphysial	432	8
paracervical	433	42
paravesicular	434	8
prevesicular	435	8
postvesicular	436	8
vesicular	437	269
paravaginal	438	31
pararectal	439	25
extremity	440	1878
apical	441	379
pectoral	442	138
subscapular	443	38
paramammary	444	15
cubital	445	63
epitrochlear	446	27
inguinal	447	1449
prefemoral	448	6
popliteal	449	1068
tibial	450	1039
fibular	451	101
angiofollicular	452	13
hyperplasia	453	858
hyaline-vascular	454	2
plasma	455	3292
progressively	456	4
transformed	457	7
germinal	458	50
centers	459	262
angioimmunoblastic	460	17
dysproteinemia	461	4
necrotizing	462	261
lymphadenitis	463	134
reactive	464	431
follicular	465	549
elderly	466	359
transplantation	467	702
lymphoproliferative	468	142
lymphoma	469	2020
nodes	470	2257
hematologic	471	63
malignancy	472	373
acute	473	8417
myeloid	474	607
leukemia	475	1310
minimal	476	255
differentiation	477	507
fab	478	189
m0	479	44
without	480	8757
maturation	481	184
m1	482	100
m2	483	122
myelomonocytic	484	77
waldeyer's	485	36
tonsil	486	500
adenoid	487	266
lingual	488	325
spleen	489	1058
thymus	490	386
preauricular	491	160
intrathoracic	492	477
intra	493	946
femoral	494	2441
intrapelvic	495	149
sites	496	1287
respiratory	497	4407
rhinorrhagia	498	2
fracture	499	13059
basilar	500	177
condyle	501	396
clivus	502	39
ethmoid	503	241
orbital	504	834
plate	505	1033
end	506	1053
humerus	507	1313
intertrochanteric	508	75
closed	509	6611
dislocation	510	3528
subtalar	511	334
joint	512	16837
open	513	13257
sprain	514	1007
cruciate	515	240
knee	516	4551
traumatic	517	3934
intracranial	518	3058
loss	519	3131
consciousness	520	1387
brief	521	250
moderate	522	922
prolonged	523	520
no	524	4908
laceration	525	2452
cerebellar	526	946
contusion	527	1313
following	528	2690
return	529	426
pre	530	1242
existing	531	492
conscious	532	358
level	533	15029
wound	534	7284
chest	535	2338
sucking	536	82
artery	537	15957
alloimmune	538	32
destruction	539	1511
transfused	540	59
red	541	2158
poisoning	542	15834
arthropod	543	118
bite	544	2132
digestive	545	774
myoclonic	546	171
procedure	547	109775
related	548	3109
finding	549	75993
non-human	550	22
absence	551	1446
skeletal	552	1077
anomaly	553	2329
visual	554	1936
site	555	3374
fetal	556	3502
skin	557	16196
subcutaneous	558	3917
flank	559	207
metabolic	560	829
genitourinary	561	736
gonad	562	67
industrial	563	1034
motor	564	9821
vehicle	565	12049
accident	566	11406
victim	567	494
driver	568	1352
passenger	569	1464
choline	570	275
decreased	571	1614
abnormal	572	6750
structure	573	67986
albumin	574	532
vitamin	575	2129
e	576	15587
physiologic	577	140
substance	578	51054
quantity	579	197
ovulation	580	105
previous	581	628
pregnancies	582	40
number	583	1016
currently	584	99
pregnant	585	191
primigravida	586	42
gravida	587	113
2	588	7503
4	589	2838
5	590	5105
6	591	1560
7	592	1317
8	593	1159
9	594	858
10	595	4613
more	596	1250
than	597	2151
dilatation	598	795
effacement	599	32
unilateral	600	1522
paresis	601	114
bilateral	602	5725
vasovagal	603	40
syncope	604	149
sodium	605	9818
estrone	606	88
sulfate	607	3481
cortisone	608	131
acetate	609	2363
human	610	8283
calcitonin	611	190
salmon	612	130
carotene	613	32
exogenous	614	72
antigen-circulating	615	4
reaction	616	9072
antigen-cell	617	8
bound	618	71
hypergammaglobulinemia	619	17
dysgammaglobulinemia	620	4
globulin	621	813
hypobetaglobulinemia	622	8
hyperbetaglobulinemia	623	8
alpha	624	1635
hypoalphaglobulinemia	625	8
hyperalphaglobulinemia	626	8
hypoglobulinemia	627	8
hyperglobulinemia	628	8
ehrlichia	629	119
sennetsu	630	12
hematopoiesis	631	21
erythropoiesis	632	41
erythrocyte	633	312
life	634	846
span	635	61
granulocyte	636	98
production	637	545
neutrophil	638	216
group	639	9493
antigen	640	11628
enav	641	2
precursor	642	127
hh	643	22
le	644	199
ab	645	376
i	646	3591
collection	647	752
j	648	136
ce	649	32
sec	650	34
fptt	651	3
mar	652	8
barc	653	3
p	654	722
globoside	655	17
kx	656	31
fibrinogen	657	451
platelet	658	830
hpa	659	78
1	660	33898
krep	661	4
ok	662	39
raph	663	6
tr	664	51
xg	665	28
diego	666	26
cartwright	667	13
scianna	668	19
dombrock	669	19
colton	670	19
indian	671	189
gerbich	672	29
cromer	673	20
chido-rodgers	674	8
cost	675	59
knops	676	18
er	677	82
bg	678	33
series	679	192
mam	680	4
isbt	681	535
901	682	8
named	683	200
mixture	684	190
specificities	685	2
past	686	204
medical	687	2989
history	688	9251
surgical	689	5055
device	690	6132
specimen	691	6452
from	692	13876
lung	693	4001
pleura	694	647
obtained	695	1321
pleurectomy	696	30
gastrointestinal	697	2203
cervix	698	2153
ovary	699	1658
branch	700	3077
removes	701	7
introduces	702	4
has	703	775
active	704	1666
ingredient	705	21
gastrostomy	706	359
route	707	625
jejunostomy	708	96
nasogastric	709	152
